"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"bulletin:16A","The Ministry of Justice has appropriated the outer guard detail. 

You are now responsible for controlling trespasser activity.

The provided key can be used to unlock the tranquilizer gun once an alarm has been raised.

Continued...[PAGESNOTE]","La Ministrejo de Justeco proprigis al si la eksteran gvardion.

Vi nun estas responsa por regi transpasxulojn kaj iliajn agadojn.

La provizita sxlosilo povas malsxlosi la trankviligenza pafilo tuj kiam alarmo komencas.

Dauxri...[PAGESNOTE]"
"bulletin:16B","__________________________
COMPENSATION

You will receive a bonus for stopping any trespasser. A smaller bonus is provided for firing on, but missing, your target.

__________________________
WEAPONS PROTOCOL

Review instructional diagram on following page.","__________________________
KOMPENSADO

Vi ricevos bonifikon por haltigi iun transpasxulon. Malpli grandan bonifikon ofertas por pafi, tamen maltrafi, vian celon.

__________________________
PROTOKOLO DE ARMILOJ

Vidu instruan desegnon sur la sekva pagxo."
"bulletin:18A","Unfavorable international press has affected immigration protocol.

All denials must be accompanied by a REASON FOR DENIAL stamp.

A new computer inking system has been installed. Interrogate discrepancies to prime the REASON FOR DENIAL stamp.

Continued...","Malfavora internacian gazetan kritikadon influis enmigradan protokolon.

Cxiujn malaprobojn devas akompani KIALO POR MALAPROBO stampo. 

Novan komputan inkilo-sistemon instalis. Ekzamenadu malakordojn por pretigi la KIALO POR MALAPROBO stampon.

Dauxrita..."
"bulletin:18B","__________________________
DENIAL PROTOCOL

REASON FOR DENIAL stamp is activated on first interrogation.

When denying entry, stamp both DENIED and REASON FOR DENIAL on passport.

If applicant clarifies discrepancies sufficiently, approval is authorized even while REASON FOR DENIAL stamp remains available.","__________________________
PROTOKOLO DE MALAPROBO

KIALO POR MALAPROBO stampon aktivigas dum unua ekzamenado.

Dum malaprobante eniron, stampu ambaux MALAPROBITA kaj KIALO POR MALAPROBO sur pasporto.

Se petanto suficxe klarigus malakordojn, aprobon permesas ecx dum KIALO PER MALAPROBO stampo dauxre estas havebla."
"bulletin:19A","Impor rejects all imported goods from Arstotzka.

Under request from the Ministry of Trade, the Ministry of Admission will react to this violation.

Deny all travelers from Impor.","Imporio rifuzas cxiujn imporiajn varojn de Arstotzkio.

Je peto de la Ministrejo de Komerco, la Ministrejo de Enlaso reagos al tiu malobservado.

Malaprobu cxiujn vojagxantojn el Imporio."
"bulletin:20A","Impor has relented on their faulty policy.

Imporians are now permitted entry.

The divisional authority of East Grestin operations will visit again today.","Imporio celis pri sian difektitan politikon.

Oni nun permesas al Imporianoj eniron.

La divisia auxtoritatujo de Eosoa Grestino aferoj denove vizitos hodiaux."
"bulletin:21A","A special program for political asylum has been established.

Those seeking asylum must carry a valid GRANT OF ASYLUM.

Entrants with such a grant do not require an ENTRY PERMIT or an ID SUPPLEMENT.","Oni establis specialan buroon por politika azilo.

Tiuj, kiuj deziras azilon devas kunporti validan APROBON DE AZILO.

Eniruloj kun tia aprobo ne bezonas ENIRO-PERMESILON aux IDENTECA SUPLEMENTO."
"bulletin:23A","Your position is important and your responsibilities are broad.

Follow all protocols strictly.","Via posteno gravas kaj viaj devoj estas vastaj.

Sekvu cxiujn protokolojn strikte."
"bulletin:24A","Recent events have cast suspicion on the activities of Arstotzkan citizens in the ALTAN district.

The Ministry of Information has requested our cooperation.

A special drawer for confiscating documents has been installed in your booth.

Continued...","Lastaj okazoj jxetis suspekon sur la agado de arstotzkianoj en la ALTANO distrikto.

La Ministrejo de Informo petis nian kunhelpon.

Oni instalis specialan tirkeston por konfiskitaj dokumentoj en via budo.

Dauxrita..."
"bulletin:24B","The rulebook has been updated with information regarding confiscation policy.

Confiscate all Arstotzkan passports from residents living in ALTAN district.

Travelers may still be granted entry if passport is confiscated and no other rules are violated.

PASSPORT SEIZURE slips will be issued to allow entry or denial without a passport.","Oni gxisdatigis la regulolibron kun informoj pri konfiska politiko.

Konfisku cxiujn arstotzkiajn pasportojn de logxantoj en ALTANO distrikto.

Tamen vojagxantoj eblas eniri se oni konfiskus pasporton kaj neniu alia regulo estAs rompata.

Oni donos PASPORTA KONFISKO-slipojn por permesi eniron aux malaprobon sen pasporto."
"bulletin:25A","United Federation citizens present a risk of spreading infectious disease.

Deny all entrants from United Federation.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Unuigxinta Federacianoj prezentas riskon de propagado de infektaj malsanoj.

Malaprobu cxiujn enirulojn el Unuigxinta Federacio.

Dauxru konfiski arstotzkiajn pasportojn de anoj, kiuj logxas en ALTANO distrikto."
"bulletin:26A","The risk of disease is too great. A new protocol has been instituted.

All entrants must carry a valid CERTIFICATE OF VACCINATION with an up-to-date POLIO vaccine.

This requirement extends to natives, foreigners, diplomats, and asylum seekers.

Continued...","La risko de malsano estas tro larga. Oni komencas novan protokolon.

Cxiuj eniruloj devas porti validan ASERTO DE VAKCINADOn kun gxisdata POLIO vakcino.

Tiu postulo ampleksas indigxenojn, fremdulojn, diplomatojn kaj celantojn de azilo.

Dauxrita..."
"bulletin:26B","United Federation citizens are permitted entry with such certification.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Oni permesas eniron al Unuigxintaj Federacianoj kun tia atesto.

Dauxru konfiski arstotzkiajn pasportojn de anoj, kiuj logxas en ALTANO distrikto."
"bulletin:27A","In order to improve efficiency, the ENTRY PERMIT and ID SUPPLEMENT have been consolidated into a single ACCESS PERMIT.

Foreigners are now required to present a valid ACCESS PERMIT.

Continued...","Por plibonigi efikecon, oni unuigis la ENIRO-PERMESILON kaj ID-SUPLEMENTON en unuan ALIRO-PERMESILON.

Fremduloj nun devas prezenti validan ALIRO-PERMESILON.

Dauxrita..."
"bulletin:27B","Yesterday's coordinated attack has prompted an emergency meeting. 

An important Kolechian negotiator will arrive today to discuss issues at this checkpoint.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Hierauxa kunordigita atako instigis krizan kunvenon.

Grava Kolehxian negocisto alvenos hodiaux por diskuti demandojn cxe cxi tiu kontrolpunkto.

Dauxru konfiski Arstotzkujajn pasportojn de tiuj kiuj logxas en ALTANO distrikto."
"bulletin:28A","In response to continued attacks, the Ministry of Information is expanding the passport confiscation program.

Confiscate all Arstotzkan passports from native entrants.

There are no exceptions.

Do not confiscate foreign passports.","Kiel respondo al dauxritaj atakoj, la Ministrejo de Informo pligrandigas la pasport-konfiskadan programon.

Konfisku cixujn arstotzkiajn pasportojn de indigxenaj eniruloj.

Neniu escepto.

Ne konfisku fremdajn pasportojn."
"bulletin:29A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] Cxiuj registaraj laboristoj cedos al kompleta informo-revizorado. Agadoj kun malpermesitajn groupojn estas bazo por tuja aresto.

Via revizorado estas planita por: LA 24-A DE DECEMBRO

NE ELIRU DE VIA ASIGNITA REGIONO.

Dauxrita..."
"bulletin:29B","Continue to confiscate all Arstotzkan passports from native entrants.","Dauxru konfiski cxiujn arstotzkiajn pasportojn de indigxenaj eniruloj."
"bulletin:30A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] Cxiuj registaraj laboristoj cedos al kompleta informo-revizorado. Agadoj kun malpermesitajn groupojn estas bazo por tuja aresto.

Via revizorado estas planita por: LA 24-A DE DECEMBRO

NE ELIRU DE VIA ASIGNITA REGIONO.

Dauxrita..."
"bulletin:30B","Continue to confiscate all Arstotzkan passports from native entrants.","Dauxru konfiski cxiujn arstotzkiajn pasportojn de indigxenaj eniruloj."
"bulletin:31A","The Ministry of Admission is involved in discussions regarding the closure of this checkpoint.

Until a decision is made, maintain your duties as ordered.

Continued...","La Ministrejo de Enlaso miksas sin en diskutoj pri la estonteco de tiu kontrolpunkto.

Gxis oni farus decidon, dauxrigu viajn devojn lauxordone.

Dauxrita..."
"bulletin:31B","You are scheduled for an information audit tomorrow morning.

DO NOT LEAVE YOUR DESIGNATED REGION.

Continue to confiscate all Arstotzkan passports from native entrants.","You are scheduled for an information audit tomorrow morning.

NE ELIRU DE VIA ASIGNITA REGIONO.

Dauxru konfiski cxiujn arstotzkiajn pasportojn de indigxenaj eniruloj."
"facts","$paper: Invalid $fact","$paper: Nevalida $fact"
"facts","Missing $paper","Mankanta $paper"
"facts","$0 DISTRICT","$0 DISTRIKTO"
"facts","Presence","Cxeesto"
"facts","Sufficience","Suficxeco"
"facts","Excellence","Bonegeco"
"facts","Obristan","Obristio"
"facts","Antegria","Antegrio"
"facts","Republia","Respublikio"
"facts","UnitedFed","UnuigxintaFedo"
"facts","Impor","Imporio"
"facts","Kolechia","Kolehxio"
"facts","Arstotzka","Arstotzkio"
"facts","Skal","Skalio"
"facts","Lorndaz","Lorndazo"
"facts","Mergerous","Mergero"
"facts","St. Marmero","San-Marmero"
"facts","Glorian","Glorino"
"facts","Outer Grouse","Ekst. Grouso"
"facts","True Glorian","Vera Glorino"
"facts","Lesrenadi","Lesrenado"
"facts","Bostan","Bostano"
"facts","Great Rapid","Grand. Rapido"
"facts","Shingleton","Sxindotono"
"facts","Korista City","Ktorita Urbo"
"facts","Enkyo","Enkio"
"facts","Haihan","Hajhano"
"facts","Tsunkeido","Cunkejdo"
"facts","Yurko City","Jurka Urbo"
"facts","Vedor","Vedoro"
"facts","West Grestin","Ust. Grestino"
"facts","Orvech Vonor","Orvehxo Vono"
"facts","East Grestin","Eos. Grestino"
"facts","Paradizna","Paradizno"
"facts","Passport","Pasporto"
"facts","Entry Ticket","Eniro-Bileto"
"facts","Entry Permit","Eniro-Permesilo"
"facts","Work Pass","Laboro-Pasilo"
"facts","Id Card","Id-Karto"
"facts","Id Supplement","Id-Suplemento"
"facts","Access Permit","Aliro-Permesilo"
"facts","Diplomatic Auth","Diplomata Aprobo"
"facts","Asylum Grant","Aprobo de Azilo"
"facts","Vaccine Cert","Atesto de Vakc."
"facts","Identity Record","Identeca Regxistro"
"facts","Fingerprints","Fingropremajxoj"
"facts","Name","Nomo"
"facts","Id Number","Identiga N-ro"
"facts","Expiration Date","Eksvalida Dato"
"facts","Issuing City","Eldonita Urbo"
"facts","Birth Date","Naskigxtago"
"facts","Alias","Kasxnomo"
"facts","Height","Alteco"
"facts","Weight","Pezo"
"facts","Description","Priskribo"
"facts","Thumbprint","Poleksopremajxo"
"facts","Date","Dato"
"facts","Purpose","Celo"
"facts","Duration","Dauxro"
"facts","Face","Vizagxo"
"facts","District","Distrikto"
"facts","Gender","Sekso"
"facts","Work End Date","Finlabora Dato"
"facts","Altan","Altano"
"facts","Vescillo","Vecilo"
"facts","Burnton","Brultono"
"facts","Octovalis","Oktovalo"
"facts","Gennistora","Gxenistoro"
"facts","Lendiforma","Lendiformo"
"facts","Wozenfield","Uxozenkampo"
"facts","Fardesto","Fardesto"
"facts","DENTISTRY","DENTMEDICINO"
"facts","HEALTH-CARE","KURACO"
"facts","GENERAL-LABOR","MAN-LABORO"
"facts","ENGINEERING","INGXENIERARTO"
"facts","SPORTS","SPORTOJ"
"facts","ARCHITECTURE","ARKITEKTURO"
"facts","FOOD-SERVICE","MANGXADO-SERVADO"
"facts","AVIATION","AVIADO"
"facts","ACCOUNTING","KALKULADO"
"facts","FISHING","FISXKAPTADO"
"facts","DRAFTING","DESEGNADO"
"facts","RESEARCH","ESPLORADO"
"facts","FINE-ARTS","BELARTO"
"facts","AGRICULTURE","AGRIKULTURO"
"facts","MANUFACTURING","FABRIKADO"
"facts","CONSTRUCTION","KONSTRUADO"
"facts","SURVEYING","TERMEZURADO"
"facts","STATISTICS","STATISTIKO"
"facts","POLIO","POLIO"
"facts","HPV","HPV"
"facts","COWPOX","KAUXPOKSO"
"facts","TETANUS","TETANOSO"
"facts","YEL.FEV.","FLAV.FEBR."
"facts","CHOLERA","HXOLERO"
"facts","RUBELLA","MORBILO"
"facts","HEP-B","HEP-B"
"facts","MEASLES","RUBEOLO"
"facts","TUBERC.","TUBERK."
"facts","2 DAYS","2 TAGOJ"
"facts","14 DAYS","14 TAGOJ"
"facts","1 MONTH","1 MONATO"
"facts","2 MONTHS","2 MONATOJ"
"facts","3 MONTHS","3 MONATOJ"
"facts","6 MONTHS","6 MONATOJ"
"facts","1 YEAR","1 JARO"
"facts","FOREVER","CXIAM"
"facts","visit","vizito"
"facts","transit","transiro"
"facts","work","laboro"
"facts","immigrate","enmigro"
"facts","Possible Smuggler Admitted","Eblan Kontrabandiston Allasis"
"facts","Missing documents","Mankantaj dokumentoj"
"facts","Wanted criminal admitted","Sercxatan krimulon allasis"
"facts","Incorrect purpose response","Malkorekta celo respondo"
"facts","Incorrect visit duration response","Malkorekta vizito-dauxro respondo"
"facts","Passport: Non-matching photo","Pasporto: Neakordanta foto"
"facts","Forged Entry Permit","Falsita Eniro-Permesilo"
"facts","Forged Work Pass","Falsita Laboro-Pasilo"
"facts","Id Card: Non-matching photo","Id-Karto: Neakordanta foto"
"facts","Forged Access Permit","Falsita Aliro-Permesilo"
"facts","No Diplomatic Access to Arstotzka","Neniu Diplomata Aliro al Arstotzkio"
"facts","Forged Diplomatic Auth","Falsita Diplomata Aprobo"
"facts","Forged Asylum Grant Seal","Falsita Sigelo de Aprobo de Azilo"
"facts","Necessary vaccine expired","Necesa vakcino eksvalidigxis"
"facts","Missing necessary vaccine","Mankanta necesa vakcinado"
"facts","Name does not match record","Nomo ne akordas kun registro"
"facts","Alias does not match record","Kasxnomo ne akordas kun registro"
"facts","Fingerprints do not match record","Fingropremajxoj ne akordas kun registro"
"facts","Cobrastan is not a real country","Kobrastanio ne estas vera lando"
"facts","No entry from Antegria","Neenirebla de Antegrio"
"facts","No entry from Arstotzka","Neenirebla de Arstotzkio"
"facts","No entry from Republia","Neenirebla de Respublikio"
"facts","No entry from United Fed","Neenirebla de Unuigxinta Fedo"
"facts","No entry from Obristan","Neenirebla de Obristio"
"facts","No entry from Impor","Neenirebla de Imporio"
"facts","No entry from Kolechia","Neenirebla de Kolehxio"
"facts","Possible Terrorist Admitted","Elban Teroriston Allasis"
"facts","Entrant Holds Conflicting Passports","Enirulo Havas Konfliktajn Pasportojn"
"facts","Entrant must have a passport","Enirulo devas havi pasporton"
"facts","Foreigners require an entry permit","Fremduloj bezonas eniro-permesilon"
"facts","Foreigners require an entry ticket","Fremduloj devas havi eniro-bileton"
"facts","All documents must be current","Cxiuj dokumentoj devas esti aktualaj"
"facts","Workers must have a work pass","Laboristoj devas havi laboro-pasilon"
"facts","Citizens must have an id card","Civitanoj devas havi id-karton."
"facts","Foreigners require an id supplement","Fremduloj devas havi id-suplementon"
"facts","Arstotzkan citizens only","Nur arstotzkianoj"
"facts","No entry from United Federation","Neenirebla de Unuigxinta Federacio"
"facts","No weapons or contraband","Neniu armilo aux kontrabando"
"facts","All Kolechians must be searched","Cxiuj Kolehxioj devas esti sercxataj"
"facts","Diplomats require authorization","Diplomatoj bezonas permeson"
"facts","Entrant must have polio vaccine cert","Enirulo devas havi polivakcino-ateston"
"facts","Asylum seekers must have a grant","Petantoj de azilo devas havi aprobon"
"facts","Foreigners require an access permit","Fremduloj bezonas aliro-permesilon"
"facts","CONFISCATE ARSTOTZKAN PASSPORTS BELONGING TO ALTAN RESIDENTS.","KONFISKU PASPORTOJN KIUJ APARTENAS AL LOGXANTOJ DE ALTANO DISTRIKTO."
"facts","CONFISCATE ALL ARSTOTZKAN PASSPORTS. NO EXCEPTIONS.","KONFISKU CXIUJN ARSTOTZKIAJN PASPORTOJN. NENIU ESCEPTO."
"facts","Passport not confiscated","Pasporto ne konfiskita"
"paper:SecondPassport","West Grestin","Uxesta Grestino"
"paper:Rules","Basic Rules","Bazaj Reguloj"
"paper:Rules","Regional Map","Regiona Mapo"
"paper:Rules","Booth Info","Buda Informoj"
"paper:Rules","Documents","Dokumentoj"
"paper:Rules","Confiscation","Konfiskado"
"paper:Rules","Obristan","Obristio"
"paper:Rules","Antegria","Antegrio"
"paper:Rules","Republia","Respublikio"
"paper:Rules","United","Unuigxinta"
"paper:Rules","Federation","Federacio"
"paper:Rules","Impor","Imporio"
"paper:Rules","Kolechia","Kolehxio"
"paper:Rules","Arstotzka","Arstotzkio"
"paper:Rules","ANTEGRIA","ANTEGRIO"
"paper:Rules","ARSTOTZKA","ARSTOTZKIO"
"paper:Rules","IMPOR","IMPORIO"
"paper:Rules","KOLECHIA","KOLEĤIO"
"paper:Rules","OBRISTAN","OBRISTIO"
"paper:Rules","REPUBLIA","RESPUBLIKIO"
"paper:Rules","UNITED FED.","UNU-FEDO"
"paper:Rules","Id Card (Native)","Id-Karto (Indigxeno)"
"paper:Rules","Entry Permit","Eniro-Permesilo"
"paper:Rules","Id Supplement","Id Suplemento"
"paper:Rules","Access Permit","Aliro-Permesilo"
"paper:Rules","Work Pass","Laboro-Pasilo"
"paper:Rules","Diplomatic Auth.","Diplomata Aprobo"
"paper:Rules","Grant of Asylum","Aprobo de Azilo"
"paper:Rules","Vaccine Cert.","Atesto de Vakcino"
"intro","Congratulations.","Gratulon."
"intro","The October labor lottery is complete. Your name was pulled.","La oktobra labora loterio finiĝis. Via nomo estas elektita."
"intro","For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint.","Por tuja dungiĝo, prezentu vin ĉe la Ministrejo de Enlaso ĉe Grestino Landlima Kontrolpunkto."
"intro","An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.","Oni provizis vin kaj vian familion per apartamento en Orienta Grestino. Esperu Klaso-8 loĝejon."
"intro","Glory to Arstotzka.","Gloro al Arstotzkio."
"end:in-debt","Arstotzka has zero tolerance for delinquency.","Arstotzkio havas neniom da tolerateco por malakurateco."
"end:in-debt","Your family will be sent back to their village.","Oni resendos vian familion al sia vilaĝo."
"end:in-debt","You are under arrest until your debts are repaid.","Vi estas arestita gxis viaj sxuldoj estas pagitaj."
"end:in-debt","A replacement inspector will be found easily.","Anstataŭan inspektiston facile troveblos."
"end:in-debt","Glory to Arstotzka.","Gloro al Arstotzkio."
"end:family-dead","Your entire family is gone.","Via tuta familio foriris."
"end:family-dead","The Ministry Of Labor focuses on Arstotzka's future growth.","La Ministrejo de Laboro temas pri la estonteca kreskado de Arstotzkio."
"end:family-dead","Workers are expected to support large healthy families.","Oni esperas, ke laboroj vivtenas grandajn sanajn familiojn."
"end:family-dead","Your position will be filled by someone more appropriate.","Via ofico estos plenumita per iu pli taŭga."
"end:family-dead","Glory to Arstotzka.","Gloro al Arstotzkio."
"end:turned-over-ezic-docs","You are under arrest for associating with suspicious groups.","Vi estas arestita por asocigado kun suspektindaj grupoj."
"end:turned-over-ezic-docs","The Ministry of Information will perform a full audit of your recent activities.","La Ministrejo de Informo plene revizoros viajn lastajn aferojn."
"end:turned-over-ezic-docs","Glory to Arstotzka.","Gloro al Arstotzkio."
"end:caught-with-ezic-money","The Ministry of Income has discovered an anomaly in your earnings.","La Ministrejo de Enspezo malkovris anomalion en via lukraĵoj."
"end:caught-with-ezic-money","You are under arrest pending a full audit of your recent activities.","Vi estas arestita dum plena revizoro de via lasta agado."
"end:caught-with-ezic-money","Your family will likewise be held for questioning.","Via familio simile teniĝos por ekzamenado."
"end:caught-with-ezic-money","The border will remain open under a replacement inspector.","La landlimo daŭras malfermi per anstataŭa inspektisto."
"end:caught-with-ezic-money","Glory to Arstotzka.","Gloro al Arstotzkio."
"end:killed-innocent","You are under arrest for the murder of an innocent.","Vi estas arestita por la murdo de senkulpulo."
"end:killed-innocent","The penalty is death.","La puno estas morto."
"end:killed-innocent","Your family will be questioned about their involvement.","Vian familion ekzamenos pri ilia koncerno."
"end:killed-innocent","The border will remain open under a replacement inspector.","La landlimo daŭras malfermi per anstataŭa inspektisto."
"end:killed-innocent","Glory to Arstotzka.","Gloro al Arstotzkio."
"end:tranqed-innocent","You are under arrest for attacking an innocent.","Vi estas arestita por atakante senkulpulon."
"end:tranqed-innocent","The penalty is forced labor.","La puno estas trudlaboro."
"end:tranqed-innocent","Your family will be questioned about their involvement.","Vian familion ekzamenos pri ilia koncerno."
"end:tranqed-innocent","The border will remain open under a replacement inspector.","La landlimo daŭras malfermi per anstataŭa inspektisto."
"end:tranqed-innocent","Glory to Arstotzka.","Gloro al Arstotzkio."
"end:killed-guard","You are under arrest for the murder of an Arstotzkan official.","Vi estas arestita por la murdo de arstotzkia funkciulo."
"end:killed-guard","The penalty is death.","La puno estas morto."
"end:killed-guard","Your family will be questioned about their involvement.","Vian familion ekzamenos pri ilia koncerno."
"end:killed-guard","The border will remain open under a replacement inspector.","La landlimo daŭras malfermi per anstataŭa inspektisto."
"end:killed-guard","Glory to Arstotzka.","Gloro al Arstotzkio."
"end:tranqed-guard","You are under arrest for attacking an Arstotzkan official.","Vi estas arestita por atakinte arstotzkian funkciulon."
"end:tranqed-guard","The penalty is death.","La puno estas morto."
"end:tranqed-guard","Your family will be questioned about their involvement.","Vian familion ekzamenos pri ilia koncerno."
"end:tranqed-guard","The border will remain open under a replacement inspector.","La landlimo daŭras malfermi per anstataŭa inspektisto."
"end:tranqed-guard","Glory to Arstotzka.","Gloro al Arstotzkio."
"end:killed-target","You are under arrest for the murder of an innocent.","Vi estas arestita por la murdo de senkulpulo."
"end:killed-target","The penalty is death.","La puno estas morto."
"end:killed-target","Your family will be questioned about their involvement.","Vian familion ekzamenos pri ilia koncerno."
"end:killed-target","The border will remain open under a replacement inspector.","La landlimo daŭras malfermi per anstataŭa inspektisto."
"end:killed-target","Glory to Arstotzka.","Gloro al Arstotzkio."
"end:killed-target","[A note appears from under the cell door]","[Noto aperas el sub la cxelpordo]"
"end:killed-target","INSPECTOR - FAMILY IS SAFE - TARGET ELIMINATED BUT OTHER PROBLEMS ARISE","INSPEKTISTO - FAMILIO ESTAS SEKURA - CELO NULIGINTA SED ALIAJ PROBLEMOJ APERAS"
"end:killed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","ANSTATAŬA INSPEKTISTO NEKUNLABOREMA - AGADO DE EZIC MALHELPITA"
"end:killed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","NI NE PLU SUBTENAS - EZIC KAŜOS SIN DENOVE"
"end:killed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","PRENOS FAMILION AL OBRISTIO - BONŜANCON"
"end:tranqed-target","You are under arrest for attacking an innocent.","Vi estas arestita por atakante senkulpulon."
"end:tranqed-target","The penalty is forced labor.","La puno estas trudlaboro."
"end:tranqed-target","Your family will be questioned about their involvement.","Vian familion ekzamenos pri ilia koncerno."
"end:tranqed-target","The border will remain open under a replacement inspector.","La landlimo daŭras malfermi per anstataŭa inspektisto."
"end:tranqed-target","Glory to Arstotzka.","Gloro al Arstotzkio."
"end:tranqed-target","[A note appears from under the cell door]","[Noto aperas el sub la cxelpordo]"
"end:tranqed-target","INSPECTOR - FAMILY IS SAFE - TARGET HAS RECOVERED IN HOSPITAL","INSPEKTISTO - FAMILIO ESTAS SEKURA - CELO RESANIĜIS EN HOSPITALO"
"end:tranqed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","ANSTATAŬA INSPEKTISTO NEKUNLABOREMA - AGADO DE EZIC MALHELPITA"
"end:tranqed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","NI NE PLU SUBTENAS - EZIC KAŜOS SIN DENOVE"
"end:tranqed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","PRENOS FAMILION AL OBRISTIO - BONŜANCON"
"end:stuff-on-walls","You are under arrest for violating direct orders.","Vi estas arestita por malobservinte rektajn ordonojn."
"end:stuff-on-walls","The penalty is forced labor.","La puno estas trudlaboro."
"end:stuff-on-walls","Your family will be sent back to their village.","Oni resendos vian familion al sia vilaĝo."
"end:stuff-on-walls","The border will remain open under a replacement inspector.","La landlimo daŭras malfermi per anstataŭa inspektisto."
"end:stuff-on-walls","Glory to Arstotzka.","Gloro al Arstotzkio."
"end:arrested-boss-buddy","Your supervisor has reported you for theft of Arstotzkan property.","Via superulo raportis vin por ŝtelo de arstotzkia propraĵo."
"end:arrested-boss-buddy","The penalty is forced labor.","La puno estas trudlaboro."
"end:arrested-boss-buddy","Your family will be sent back to their village.","Oni resendos vian familion al sia vilaĝo."
"end:arrested-boss-buddy","The border will remain open under a replacement inspector.","La landlimo daŭras malfermi per anstataŭa inspektisto."
"end:arrested-boss-buddy","Glory to Arstotzka.","Gloro al Arstotzkio."
"end:wall-destroyed","The Grestin Border wall has been destroyed.","La Grestino Landlimo-Muro detruiĝis."
"end:wall-destroyed","You are under arrest for failure to defend the checkpoint.","Vi estas arestita por malsukcese defendi la kontrolpunkton."
"end:wall-destroyed","Your family will be sent back to their village.","Oni resendos vian familion al sia vilaĝo."
"end:wall-destroyed","The border will reopen under a replacement inspector.","La landlimo daŭras malfermi per anstataŭa inspektisto."
"end:wall-destroyed","Glory to Arstotzka.","Gloro al Arstotzkio."
"end:help-ezic-kill-attackers-wall-safe","Hello inspector.","Saluton inspektisto."
"end:help-ezic-kill-attackers-wall-safe","We have audited your recent activities.","Ni revizoris viajn lastajn agojn."
"end:help-ezic-kill-attackers-wall-safe","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","Vian implikadon kun grupon, kiu nomas sin LA ORDENO DE LA EZIC STELO malkovris."
"end:help-ezic-kill-attackers-wall-safe","Several members of this group have been arrested in Arstotzka.","Multaj membroj de tiu grupo estas areatitaj en Arstotzkio."
"end:help-ezic-kill-attackers-wall-safe","At least one EZIC member has confessed to receiving your help.","Almenaŭ unu membro de EZIC konfesis ricevi vian helpon."
"end:help-ezic-kill-attackers-wall-safe","This represents treason of the highest order.","Tiu reprezentas ŝtatperfidon en la plej alta grado."
"end:help-ezic-kill-attackers-wall-safe","Goodbye inspector.","Adiaŭ inspektisto."
"end:help-ezic-kill-attackers-wall-safe","The execution is scheduled for tonight.","La ekzekuton planis por ĉi-nokte."
"end:help-ezic-kill-attackers-wall-safe","Your family's safety is unknown.","La sekureco de via familio estas nekonata."
"end:help-ezic-kill-attackers-wall-safe","EZIC has been crushed. The balance of justice is restored.","EZIC estas rompita. La balanco de justeco restaŭriĝas."
"end:help-ezic-kill-attackers-wall-safe","Glory to Arstotzka.","Gloro al Arstotzkio."
"end:help-ezic-kill-attackers-wall-safe","[A note appears from under the cell door]","[Noto aperas el sub la cxelpordo]"
"end:help-ezic-kill-attackers-wall-safe","INSPECTOR - YOU HAVE BETRAYED US AT THE LAST MOMENT","INSPEKTISTO - VI PERFIDIS NIN ĈE LA FINA MOMENTO"
"end:help-ezic-kill-attackers-wall-safe","THIS CHAPTER OF EZIC IS OVER - WE CAN OFFER NO HELP TO YOUR FAMILY","TIU ĈAPITRO DE EZIC FINIS - NI NE POVAS HELPI VIAN FAMILION"
"end:help-ezic-kill-attackers-wall-destroyed","The border has been pierced.","La landlimo trapenetris."
"end:help-ezic-kill-attackers-wall-destroyed","It is a glorious day for THE ORDER OF THE EZIC STAR but you have betrayed us at the last moment.","Estas glora tago por LA ORDENO DE LA EZIC STELO sed vi perfidis nin ĉe la lasta momento."
"end:help-ezic-kill-attackers-wall-destroyed","EZIC grows strong while the corrupt and greedy weaken.","EZIC plifortiĝas dum la koruptantoj kaj avarantoj malplifortiĝas."
"end:help-ezic-kill-attackers-wall-destroyed","Your betrayal means you have chosen the wrong side.","Via perfido signifas, ke vi elektis la malĝustan flankon."
